iter	Passed	Remaining
0	60	60395
1	71	35509
2	84	28247
3	95	23657
4	108	21663
5	121	20144
6	133	18910
7	143	17800
8	155	17162
9	165	16410
10	172	15513
11	182	15051
12	188	14308
13	195	13797
14	204	13460
15	211	12996
16	220	12776
17	228	12468
18	235	12140
19	243	11928
20	251	11736
21	257	11448
22	263	11193
23	269	10976
24	275	10754
25	281	10562
26	289	10416
27	296	10294
28	302	10144
29	309	10015
30	316	9901
31	324	9824
32	331	9709
33	339	9635
34	347	9580
35	353	9464
36	359	9364
37	367	9291
38	373	9195
39	379	9117
40	385	9026
41	391	8929
42	398	8868
43	404	8780
44	409	8687
45	417	8667
46	424	8600
47	432	8581
48	438	8515
49	445	8455
50	452	8416
51	458	8356
52	464	8299
53	472	8272
54	478	8228
55	484	8171
56	491	8127
57	500	8124
58	506	8082
59	514	8056
60	522	8042
61	529	8011
62	537	8000
63	546	7986
64	552	7944
65	560	7927
66	568	7911
67	573	7866
68	581	7840
69	588	7812
70	595	7789
71	602	7760
72	611	7768
73	618	7742
74	625	7720
75	633	7700
76	640	7683
77	647	7658
78	653	7623
79	659	7586
80	665	7551
81	671	7517
82	679	7508
83	685	7479
84	692	7456
85	699	7437
86	710	7459
87	716	7429
88	724	7419
89	730	7391
90	736	7359
91	742	7325
92	748	7298
93	754	7269
94	760	7248
95	766	7219
96	773	7200
97	781	7190
98	789	7182
99	795	7158
100	801	7133
101	807	7108
102	819	7134
103	825	7110
104	831	7088
105	839	7076
106	845	7057
107	852	7039
108	860	7036
109	866	7010
110	872	6991
111	881	6986
112	887	6967
113	893	6946
114	899	6925
115	906	6904
116	911	6880
117	918	6861
118	925	6850
119	935	6862
120	942	6843
121	947	6821
122	954	6804
123	961	6796
124	968	6782
125	974	6761
126	981	6746
127	987	6724
128	995	6719
129	1003	6713
130	1009	6695
131	1017	6692
132	1023	6672
133	1029	6652
134	1037	6645
135	1044	6637
136	1051	6624
137	1058	6614
138	1064	6593
139	1071	6583
140	1078	6569
141	1084	6550
142	1089	6531
143	1095	6514
144	1103	6504
145	1111	6500
146	1118	6489
147	1124	6471
148	1131	6463
149	1139	6455
150	1145	6440
151	1151	6425
152	1159	6420
153	1166	6409
154	1175	6407
155	1182	6397
156	1188	6380
157	1194	6367
158	1202	6358
159	1209	6350
160	1216	6336
161	1222	6322
162	1229	6315
163	1238	6311
164	1246	6306
165	1252	6291
166	1260	6288
167	1266	6273
168	1273	6261
169	1283	6265
170	1289	6250
171	1296	6242
172	1304	6235
173	1310	6220
174	1321	6229
175	1327	6214
176	1333	6199
177	1340	6188
178	1347	6179
179	1354	6170
180	1360	6156
181	1366	6141
182	1374	6136
183	1380	6124
184	1384	6101
185	1391	6089
186	1397	6076
187	1403	6063
188	1413	6065
189	1421	6058
190	1429	6055
191	1439	6056
192	1445	6045
193	1454	6043
194	1462	6036
195	1467	6021
196	1474	6009
197	1480	5995
198	1486	5982
199	1493	5972
200	1499	5958
201	1505	5947
202	1511	5935
203	1517	5922
204	1526	5918
205	1532	5905
206	1538	5892
207	1544	5880
208	1552	5873
209	1558	5862
210	1564	5848
211	1574	5851
212	1580	5839
213	1585	5824
214	1593	5817
215	1598	5803
216	1604	5789
217	1611	5779
218	1617	5766
219	1624	5758
220	1632	5755
221	1638	5742
222	1647	5739
223	1654	5731
224	1660	5718
225	1667	5712
226	1674	5702
227	1680	5690
228	1686	5677
229	1692	5665
230	1698	5654
231	1708	5655
232	1714	5643
233	1720	5631
234	1725	5617
235	1731	5605
236	1736	5591
237	1742	5578
238	1748	5566
239	1754	5554
240	1759	5542
241	1765	5530
242	1772	5521
243	1778	5509
244	1784	5499
245	1790	5488
246	1796	5476
247	1801	5462
248	1808	5453
249	1814	5444
250	1820	5432
251	1829	5431
252	1836	5422
253	1842	5410
254	1851	5409
255	1858	5401
256	1864	5389
257	1873	5387
258	1879	5376
259	1886	5369
260	1896	5368
261	1903	5360
262	1909	5350
263	1918	5348
264	1924	5337
265	1930	5326
266	1936	5316
267	1942	5305
268	1948	5294
269	1954	5284
270	1963	5281
271	1970	5273
272	1976	5262
273	1982	5253
274	1990	5246
275	1998	5242
276	2004	5231
277	2010	5221
278	2018	5216
279	2025	5209
280	2032	5200
281	2041	5198
282	2047	5188
283	2053	5178
284	2061	5171
285	2067	5162
286	2073	5151
287	2081	5144
288	2088	5137
289	2096	5133
290	2102	5122
291	2108	5112
292	2117	5110
293	2123	5099
294	2129	5088
295	2134	5077
296	2142	5070
297	2149	5062
298	2157	5057
299	2163	5047
300	2171	5041
301	2179	5038
302	2186	5028
303	2192	5019
304	2200	5013
305	2206	5004
306	2213	4996
307	2222	4992
308	2230	4986
309	2236	4977
310	2242	4967
311	2248	4957
312	2254	4947
313	2261	4940
314	2268	4932
315	2275	4924
316	2281	4916
317	2287	4905
318	2295	4899
319	2303	4894
320	2310	4888
321	2317	4880
322	2323	4870
323	2330	4862
324	2339	4858
325	2345	4849
326	2353	4842
327	2359	4833
328	2365	4823
329	2372	4816
330	2380	4810
331	2385	4799
332	2392	4792
333	2400	4786
334	2406	4776
335	2411	4766
336	2418	4757
337	2425	4750
338	2431	4740
339	2437	4732
340	2443	4722
341	2449	4712
342	2455	4703
343	2465	4701
344	2472	4694
345	2478	4685
346	2485	4677
347	2493	4671
348	2499	4661
349	2505	4653
350	2513	4648
351	2519	4638
352	2525	4629
353	2531	4620
354	2537	4610
355	2543	4601
356	2549	4592
357	2555	4583
358	2562	4574
359	2567	4564
360	2574	4556
361	2580	4548
362	2586	4539
363	2595	4535
364	2602	4527
365	2607	4517
366	2616	4512
367	2622	4503
368	2628	4494
369	2636	4489
370	2642	4480
371	2648	4470
372	2655	4463
373	2661	4454
374	2667	4445
375	2674	4439
376	2681	4430
377	2694	4433
378	2701	4426
379	2709	4420
380	2718	4416
381	2725	4409
382	2735	4406
383	2742	4399
384	2750	4393
385	2759	4388
386	2764	4379
387	2772	4372
388	2780	4367
389	2789	4362
390	2794	4352
391	2802	4345
392	2807	4336
393	2813	4328
394	2820	4319
395	2827	4312
396	2836	4307
397	2842	4299
398	2853	4297
399	2858	4288
400	2865	4280
401	2871	4270
402	2878	4263
403	2887	4260
404	2898	4258
405	2904	4248
406	2910	4240
407	2916	4231
408	2923	4225
409	2929	4216
410	2935	4207
411	2944	4201
412	2950	4193
413	2956	4184
414	2962	4176
415	2969	4168
416	2975	4159
417	2981	4150
418	2986	4141
419	2994	4135
420	3003	4130
421	3009	4122
422	3016	4115
423	3024	4108
424	3031	4101
425	3039	4095
426	3047	4088
427	3052	4079
428	3059	4072
429	3066	4064
430	3072	4055
431	3081	4052
432	3088	4044
433	3094	4035
434	3101	4027
435	3110	4023
436	3117	4016
437	3123	4007
438	3129	3999
439	3134	3989
440	3140	3981
441	3148	3974
442	3154	3965
443	3163	3961
444	3170	3954
445	3176	3945
446	3184	3939
447	3190	3930
448	3196	3922
449	3205	3917
450	3212	3911
451	3218	3902
452	3225	3894
453	3231	3885
454	3238	3879
455	3244	3870
456	3252	3864
457	3261	3859
458	3266	3850
459	3276	3846
460	3283	3839
461	3290	3831
462	3297	3824
463	3305	3818
464	3312	3811
465	3318	3803
466	3326	3796
467	3331	3787
468	3337	3779
469	3345	3772
470	3350	3763
471	3358	3756
472	3366	3750
473	3373	3743
474	3380	3735
475	3388	3730
476	3393	3721
477	3399	3712
478	3408	3707
479	3413	3698
480	3419	3689
