iter	Logloss
0	0.6872077627
1	0.682429173
2	0.6778452501
3	0.6736142122
4	0.6695744082
5	0.6657070972
6	0.6620661281
7	0.6583948636
8	0.6550307111
9	0.6517668803
10	0.6491443448
11	0.6471089813
12	0.6446988073
13	0.6427722467
14	0.6407385506
15	0.6387244062
16	0.6369188568
17	0.6351746696
18	0.6334353605
19	0.6319277748
20	0.6303322524
21	0.6289099553
22	0.627602065
23	0.6262167068
24	0.6248824447
25	0.623651813
26	0.6225778629
27	0.6215767902
28	0.620498956
29	0.6196320707
30	0.6187407622
31	0.6178344596
32	0.6169871849
33	0.6160579238
34	0.6151636008
35	0.6144073297
36	0.6135938944
37	0.6127741948
38	0.6120081151
39	0.6113097733
40	0.610491983
41	0.6097523603
42	0.6092467693
43	0.6085553915
44	0.6079077401
45	0.6072709371
46	0.6066217883
47	0.6060736936
48	0.6055126713
49	0.6049794987
50	0.6044666363
51	0.6039564157
52	0.6033495417
53	0.6027732443
54	0.6022332122
55	0.6018344493
56	0.6014530148
57	0.6010535326
58	0.6006332171
59	0.6002148502
60	0.5998320098
61	0.5993857997
62	0.5989942101
63	0.5987108349
64	0.5982370497
65	0.5979497445
66	0.5974686356
67	0.5971648782
68	0.5967990328
69	0.5964503653
70	0.5960578341
71	0.5957647353
72	0.5955523608
73	0.595263434
74	0.5948636706
75	0.5944999896
76	0.5941568411
77	0.5938519786
78	0.5935694207
79	0.5933240503
80	0.5930622734
81	0.5927789113
82	0.5924626512
83	0.5921349349
84	0.5918494344
85	0.5916021742
86	0.59135273
87	0.5910937387
88	0.5908747729
89	0.5905972435
90	0.5904662865
91	0.5902329021
92	0.5899468001
93	0.5896595275
94	0.5893850127
95	0.5891235039
96	0.5889065325
97	0.5886052599
98	0.588372791
99	0.5881128582
100	0.5878687759
101	0.5876039061
102	0.5873491587
103	0.5870753043
104	0.5868028885
105	0.5866406421
106	0.5864017257
107	0.5862302071
108	0.5859890543
109	0.5857987752
110	0.5855936982
111	0.5854017582
112	0.5851651435
113	0.5849720722
114	0.584739224
115	0.5845411046
116	0.5843200332
117	0.584121201
118	0.583977944
119	0.5838223413
120	0.5835663908
121	0.5833428934
122	0.5831540005
123	0.58293818
124	0.5827161342
125	0.5824308038
126	0.5821919463
127	0.5820156803
128	0.5818660739
129	0.5816599834
130	0.5814573324
131	0.5813053001
132	0.5811121045
133	0.5809541805
134	0.5807630121
135	0.5806266734
136	0.5804223615
137	0.5802111378
138	0.5800663834
139	0.5798579585
140	0.5796525415
141	0.5794950621
142	0.579318188
143	0.5791408431
144	0.5789609741
145	0.5787993947
146	0.5785846858
147	0.5784253036
148	0.5782163817
149	0.5780582942
150	0.5779051698
151	0.5777424984
152	0.5776592305
153	0.5774710046
154	0.5772343245
155	0.5770976196
156	0.5769496088
157	0.5767703741
158	0.5765582677
159	0.57646474
160	0.5762103849
161	0.5760246962
162	0.5757686998
163	0.5755776099
164	0.5754270488
165	0.5752775928
166	0.5751085132
167	0.5749420884
168	0.5747842167
169	0.5746115799
170	0.5743520851
171	0.5741972672
172	0.5740588752
173	0.5738266613
174	0.5736694173
175	0.5734994876
176	0.5733400727
177	0.5731762309
178	0.5729339011
179	0.5727059114
180	0.5725887844
181	0.5724588081
182	0.572233009
183	0.5721061323
184	0.5719277869
185	0.5718357043
186	0.5716802716
187	0.5714817664
188	0.5713137854
189	0.5710521393
190	0.5708905207
191	0.5707059371
192	0.5705643606
193	0.5703977397
194	0.5703056898
195	0.570176034
196	0.5699296435
197	0.5697845883
198	0.5695894506
199	0.5693985961
200	0.5692796316
201	0.5691210732
202	0.5689873044
203	0.5687951682
204	0.5686786166
205	0.5685637128
206	0.5684570743
207	0.5682807887
208	0.5681118595
209	0.5679680075
210	0.567727659
211	0.5676047449
212	0.5673684376
213	0.567235048
214	0.5670579646
215	0.5669234503
216	0.566810554
217	0.5666074649
218	0.5664825172
219	0.5662879812
220	0.5661247736
221	0.5659787702
222	0.5658745055
223	0.5657130307
224	0.5655018267
225	0.5653633367
226	0.5651942702
227	0.5650164871
228	0.5648504808
229	0.5646881364
230	0.5644593751
231	0.5643082255
232	0.5641583903
233	0.5639834321
234	0.563816445
235	0.5637195562
236	0.5635420413
237	0.563387851
238	0.5632319214
239	0.5630778227
240	0.5629087562
241	0.562711356
242	0.5626098638
243	0.5623481654
244	0.5621641049
245	0.5619466561
246	0.5617677484
247	0.561574919
248	0.5614098021
249	0.5613329685
250	0.5611966494
251	0.5609954632
252	0.5608379054
253	0.5606493983
254	0.5604636376
255	0.5603188505
256	0.5601322463
257	0.5599704381
258	0.5597735873
259	0.5595189314
260	0.5593196284
261	0.5591167944
262	0.5589442033
263	0.5587568275
264	0.558562893
265	0.5584195772
266	0.5582330449
267	0.5580979225
268	0.5579211922
269	0.5577786153
270	0.5575958103
271	0.5574227942
272	0.5571543933
273	0.5570268234
274	0.5569580067
275	0.5567969047
276	0.5566570088
277	0.5565354679
278	0.5563572206
279	0.5562222355
280	0.5560751401
281	0.5558941594
282	0.555698636
283	0.555558557
284	0.5554450983
285	0.555283277
286	0.5550899442
287	0.5548520152
288	0.5546492334
289	0.5545256066
290	0.5543056533
291	0.5541077497
292	0.5538833499
293	0.5536962226
294	0.553481396
295	0.5532901229
296	0.5531307015
297	0.5529455947
298	0.5527609653
299	0.5525931216
300	0.5523716643
301	0.5522002895
302	0.5520154836
303	0.5518554213
304	0.5516837718
305	0.5515329492
306	0.5513127213
307	0.5511053361
308	0.5508650203
309	0.5506636641
310	0.5504884574
311	0.5503054497
312	0.5501262084
313	0.5499188232
314	0.5496881264
315	0.5495324321
316	0.5493247069
317	0.549147545
318	0.5489505242
319	0.5488124723
320	0.5486528219
321	0.5484609407
322	0.5482560927
323	0.548025677
324	0.5478659613
325	0.5476637942
326	0.547364006
327	0.5471965742
328	0.546987175
329	0.5467795086
330	0.5466361796
331	0.5464907975
332	0.5463418907
333	0.5461345644
334	0.5460013056
335	0.5458188667
336	0.5456300458
337	0.5454634183
338	0.5452302563
339	0.5450846256
340	0.544949562
341	0.5447850401
342	0.544493308
343	0.5443488805
344	0.5441881578
345	0.544021151
346	0.5438873952
347	0.543719885
348	0.5435558339
349	0.5432990856
350	0.5431555278
351	0.5429813412
352	0.5427759438
353	0.5426193799
354	0.5424262302
355	0.5422863604
356	0.5420824474
357	0.5418958236
358	0.5416849596
359	0.5414448727
360	0.5412312819
361	0.541091726
362	0.5409359795
363	0.5406466407
364	0.5404207304
365	0.5401893665
366	0.5400213528
367	0.539804146
368	0.5396938849
369	0.5394795225
370	0.5393150333
371	0.5391366029
372	0.538906148
373	0.5387345312
374	0.5385879132
375	0.5384206711
376	0.5382285806
377	0.5381213079
378	0.5379485272
379	0.5377924537
380	0.5376109957
381	0.5374675033
382	0.5373084611
383	0.5371249041
384	0.5369621935
385	0.5367982013
386	0.5365585787
387	0.5364344222
388	0.5362899424
389	0.53604006
390	0.5358035369
391	0.5356433831
392	0.5355161728
393	0.5352465426
394	0.5350314937
395	0.5348816584
396	0.5347056474
397	0.5345045658
398	0.5343802132
399	0.5341602665
400	0.533975552
401	0.5337762818
402	0.5336022325
403	0.5334587336
404	0.5332873391
405	0.5330906779
406	0.5329047407
407	0.5326916534
408	0.5324779057
409	0.5323143843
410	0.5321726574
411	0.5320665487
412	0.5319316355
413	0.531782513
414	0.5316504443
415	0.5315089136
416	0.5313262786
417	0.5311714802
418	0.5309857195
419	0.5307583968
420	0.5305843999
421	0.5304197864
422	0.5302537213
423	0.530113773
424	0.529901902
425	0.5297464955
426	0.5296220579
427	0.5294898911
428	0.5293179997
429	0.5292114136
430	0.5290167206
431	0.5288601174
432	0.5286417401
433	0.5284714312
434	0.528304856
435	0.5281460884
436	0.5279812265
437	0.5278288672
438	0.5276947975
439	0.5275803711
440	0.527350472
441	0.5271893242
442	0.5270167332
443	0.5268493733
444	0.5267290553
445	0.5265694834
446	0.5263813948
447	0.5262673935
448	0.5261007921
449	0.5259641788
450	0.5258090731
451	0.5256881534
452	0.5255073493
453	0.5253680419
454	0.5251664568
455	0.5250059629
456	0.5247815109
457	0.5246482847
458	0.5244910735
459	0.5243446123
460	0.5241639717
461	0.5240311903
462	0.5238531849
463	0.523643171
464	0.5234089234
465	0.5232300353
466	0.5230593275
467	0.5228320701
468	0.5227600297
469	0.522586157
470	0.5224761771
471	0.5222898541
472	0.5221215068
473	0.5220162023
474	0.5218271133
475	0.5216897153
476	0.5215567834
477	0.5214260225
478	0.5212766123
479	0.5211050544
480	0.5208898354
481	0.5207739966
482	0.5206005424
483	0.5205000964
484	0.5202935024
485	0.5201471524
486	0.5199488172
487	0.5197532415
488	0.51953132
489	0.5193297022
490	0.51915307
491	0.5190574629
492	0.518945142
493	0.5187960261
494	0.5186038049
495	0.5184528057
496	0.5182815747
497	0.518083076
498	0.5179234322
499	0.5178171861
500	0.5175836644
501	0.517454499
502	0.5173442314
503	0.5171422409
504	0.5170062749
505	0.5168440221
506	0.5167440992
507	0.5166337074
508	0.5164440952
509	0.5162701636
510	0.5161009206
511	0.5159299773
512	0.5157105865
513	0.5155712529
514	0.5154046189
515	0.5152624931
516	0.5150719001
517	0.5149558847
518	0.5148198664
519	0.5146909953
520	0.5145612806
521	0.5144095621
522	0.5143178915
523	0.5142173017
524	0.5140901111
525	0.5139694268
526	0.5138234692
527	0.5136301036
528	0.5134493323
529	0.5132580265
530	0.5130960614
531	0.5129949942
532	0.5128512925
533	0.5126803558
534	0.5125964994
535	0.5124692826
536	0.5123010269
537	0.5121437045
538	0.5119498354
539	0.5117818086
540	0.5115905944
541	0.5113945805
542	0.5112326612
543	0.5111166981
544	0.5109447086
545	0.5107785061
546	0.5106134153
547	0.510484348
548	0.510349788
549	0.5102300322
550	0.5100851797
551	0.5099362861
552	0.5097811935
553	0.5096781319
554	0.5095135773
555	0.5093197474
556	0.5091844877
557	0.5090167616
558	0.5088540053
559	0.5086811003
560	0.5083745966
561	0.5081963231
562	0.5080718527
563	0.5079208404
564	0.5077176206
565	0.5076287225
566	0.5074981512
567	0.5073740797
568	0.5072078642
569	0.5070222474
570	0.5068796836
571	0.5067833375
572	0.506586127
573	0.5064799006
574	0.5063031114
575	0.5060949088
576	0.5059189436
577	0.5056677666
578	0.5055222994
579	0.5053755244
580	0.5051634899
581	0.5049822085
582	0.5047888429
583	0.504639315
584	0.5044681037
585	0.5043302022
586	0.504209531
587	0.5040290342
588	0.5038801014
589	0.5037028741
590	0.5035272228
591	0.5033892297
592	0.5032773077
593	0.5031733176
594	0.5030201998
595	0.5028101728
596	0.5026836622
597	0.5025440213
598	0.5023709006
599	0.5022147159
600	0.5021028921
601	0.5019847907
602	0.501809741
603	0.5016473769
604	0.5014226306
605	0.5013003704
606	0.5010972748
607	0.500910906
608	0.5007609792
609	0.5006345471
610	0.5005196237
611	0.5003285207
612	0.5001593561
613	0.5000506578
614	0.4999008357
615	0.4997453965
616	0.4995697386
617	0.4994275802
618	0.4992958253
619	0.4991609056
620	0.4989969199
621	0.4988828073
622	0.4987404266
623	0.4985835226
624	0.4984763414
625	0.4983630528
626	0.4982673672
627	0.4981282887
628	0.4980423528
629	0.4978443445
630	0.4976731528
631	0.4974764851
632	0.497368225
633	0.4972638163
634	0.4971115812
635	0.496965859
636	0.4968361705
637	0.4966400847
638	0.4964946241
639	0.4964270629
640	0.4962377581
641	0.4960479628
642	0.495892334
643	0.4957138905
644	0.4955780291
645	0.4953976305
646	0.4952319381
647	0.4951126793
648	0.4950330536
649	0.4949185226
650	0.4947715318
651	0.4946268166
652	0.4944946563
653	0.4943725204
654	0.4942629525
655	0.4940962465
656	0.4939876464
657	0.4938565912
658	0.4936754994
659	0.4935949124
660	0.4934860703
661	0.4933816813
662	0.4931659719
663	0.4928947331
664	0.4927484682
665	0.4926561698
666	0.4925256247
667	0.4923184814
668	0.4922046827
669	0.4920663692
670	0.491967388
671	0.4918678444
672	0.4917448518
673	0.49165717
674	0.4915018616
675	0.4913358096
676	0.4911142935
677	0.4909935896
678	0.4907871199
679	0.4906236115
680	0.4904898492
681	0.490333488
682	0.4901901329
683	0.490016391
684	0.4898751415
685	0.4897640892
686	0.4895701155
687	0.4894354573
688	0.4893432636
689	0.4892050155
690	0.4891205574
691	0.489011068
692	0.4889091246
693	0.4887719554
694	0.4886279987
695	0.4885232501
696	0.4884056261
697	0.4882730146
698	0.4881660754
699	0.4880593585
700	0.4879820345
701	0.4878237508
702	0.4877101025
703	0.4876074202
704	0.4874415512
705	0.4872862951
706	0.4871351063
707	0.4870432264
708	0.4869572513
709	0.486730746
710	0.4865750125
711	0.4864078554
712	0.4862695942
713	0.4860888817
714	0.485880836
715	0.4857232324
716	0.4856074524
717	0.4854781759
718	0.485393829
719	0.4853098221
720	0.4851741111
721	0.4850452269
722	0.4848659987
723	0.4847161373
724	0.484596277
725	0.4844100586
726	0.4843160797
727	0.4841739147
728	0.4840651315
729	0.4839512413
730	0.4837624596
731	0.4836213801
732	0.4834533729
733	0.4833365139
734	0.4831644329
735	0.4830472208
736	0.4829298846
737	0.482823305
738	0.4826639554
739	0.4825877758
740	0.4824195986
741	0.4822824163
742	0.4821890063
743	0.4820525172
744	0.4819318264
745	0.4818119857
746	0.4816957349
747	0.481591542
748	0.481471067
749	0.4813812796
750	0.481282488
751	0.4811390022
752	0.4810093856
753	0.4809066967
754	0.4807537685
755	0.4806260024
756	0.4804561447
757	0.4802725419
758	0.4801951787
759	0.4800446699
760	0.47986775
761	0.4796995466
762	0.4795835574
763	0.4794046627
764	0.4792168488
765	0.4791144738
766	0.478971341
767	0.4788330929
768	0.4786860433
769	0.4785287405
770	0.478372
771	0.4782472354
772	0.4781355227
773	0.4779935016
774	0.4777885423
775	0.4776571994
776	0.4775877942
777	0.4774052834
778	0.4772372501
779	0.4771161931
780	0.4769650958
781	0.4768514737
782	0.4767111135
783	0.4765460815
784	0.4764626828
785	0.476321721
786	0.4762378711
787	0.476109013
788	0.4760029173
789	0.4758948337
