iter	Passed	Remaining
0	59	58951
1	69	34448
2	79	26415
3	89	22319
4	99	19842
5	109	18129
6	119	16902
7	129	16053
8	139	15334
9	147	14586
10	154	13850
11	160	13189
12	165	12595
13	171	12073
14	177	11650
15	183	11271
16	189	10933
17	194	10637
18	200	10370
19	206	10127
20	212	9903
21	218	9696
22	223	9511
23	229	9320
24	235	9166
25	240	9022
26	246	8876
27	252	8752
28	258	8654
29	264	8540
30	270	8441
31	275	8341
32	281	8248
33	287	8159
34	292	8072
35	298	7994
36	304	7931
37	310	7861
38	316	7793
39	322	7737
40	328	7677
41	334	7621
42	339	7566
43	345	7509
44	351	7456
45	357	7407
46	362	7357
47	368	7312
48	374	7266
49	380	7226
50	386	7186
51	392	7146
52	397	7102
53	403	7066
54	408	7020
55	414	6986
56	420	6955
57	426	6920
58	431	6888
59	437	6860
60	443	6825
61	449	6796
62	455	6767
63	460	6737
64	466	6710
65	472	6682
66	477	6655
67	483	6628
68	489	6601
69	495	6577
70	500	6550
71	506	6523
72	511	6497
73	517	6470
74	522	6447
75	528	6425
76	533	6400
77	539	6380
78	545	6359
79	551	6342
80	557	6320
81	562	6299
82	568	6279
83	574	6262
84	579	6243
85	585	6223
86	591	6205
87	596	6186
88	602	6167
89	608	6151
90	612	6113
91	617	6094
92	623	6076
93	628	6059
94	634	6041
95	640	6027
96	645	6010
97	651	5995
98	657	5980
99	662	5965
100	668	5949
101	674	5935
102	679	5918
103	685	5903
104	690	5889
105	696	5874
106	702	5862
107	708	5848
108	714	5838
109	720	5825
110	725	5811
111	731	5798
112	737	5786
113	742	5772
114	748	5760
115	754	5747
116	760	5737
117	765	5723
118	771	5709
119	776	5696
120	782	5684
121	787	5670
122	793	5659
123	799	5648
124	805	5638
125	811	5626
126	817	5617
127	823	5606
128	828	5596
129	834	5586
130	840	5573
131	845	5560
132	851	5548
133	856	5535
134	862	5524
135	868	5514
136	873	5504
137	879	5494
138	885	5482
139	890	5470
140	896	5461
141	901	5449
142	907	5439
143	913	5433
144	919	5422
145	925	5411
146	930	5401
147	936	5391
148	942	5380
149	947	5369
150	953	5359
151	959	5351
152	964	5339
153	970	5329
154	975	5319
155	981	5307
156	986	5297
157	992	5287
158	998	5279
159	1003	5269
