Dummy Classifier,Decision Tree,SVC,Logistic Regression,Random Forest,XGBoost,LGBM,CatBoost,Naive Bayes
0.092 (+/- 0.023),1.983 (+/- 0.361),67.329 (+/- 13.307),2.273 (+/- 0.532),15.517 (+/- 2.406),434.755 (+/- 161.103),1123.197 (+/- 383.684),102.137 (+/- 48.749),0.097 (+/- 0.027)
0.044 (+/- 0.011),0.036 (+/- 0.018),7.749 (+/- 1.714),0.040 (+/- 0.012),0.256 (+/- 0.053),0.296 (+/- 0.151),0.282 (+/- 0.153),0.389 (+/- 0.258),0.035 (+/- 0.008)
0.500 (+/- 0.000),0.614 (+/- 0.008),0.724 (+/- 0.011),0.735 (+/- 0.016),0.763 (+/- 0.010),0.762 (+/- 0.012),0.780 (+/- 0.011),0.783 (+/- 0.011),0.723 (+/- 0.014)
0.500 (+/- 0.000),1.000 (+/- 0.000),0.786 (+/- 0.003),0.738 (+/- 0.002),1.000 (+/- 0.000),0.960 (+/- 0.003),0.897 (+/- 0.001),0.901 (+/- 0.001),0.725 (+/- 0.002)
0.000 (+/- 0.000),0.401 (+/- 0.013),0.454 (+/- 0.018),0.389 (+/- 0.029),0.472 (+/- 0.023),0.463 (+/- 0.026),0.481 (+/- 0.018),0.478 (+/- 0.017),0.377 (+/- 0.003)
0.000 (+/- 0.000),0.999 (+/- 0.000),0.475 (+/- 0.002),0.390 (+/- 0.007),0.999 (+/- 0.000),0.741 (+/- 0.009),0.577 (+/- 0.005),0.619 (+/- 0.003),0.377 (+/- 0.002)
0.000 (+/- 0.000),0.414 (+/- 0.017),0.339 (+/- 0.017),0.270 (+/- 0.025),0.371 (+/- 0.023),0.365 (+/- 0.027),0.375 (+/- 0.016),0.373 (+/- 0.018),0.964 (+/- 0.007)
0.000 (+/- 0.000),0.997 (+/- 0.000),0.356 (+/- 0.002),0.270 (+/- 0.006),0.998 (+/- 0.000),0.620 (+/- 0.010),0.454 (+/- 0.006),0.495 (+/- 0.003),0.964 (+/- 0.004)
0.000 (+/- 0.000),0.389 (+/- 0.012),0.688 (+/- 0.031),0.700 (+/- 0.043),0.651 (+/- 0.032),0.634 (+/- 0.028),0.670 (+/- 0.030),0.666 (+/- 0.023),0.234 (+/- 0.002)
0.000 (+/- 0.000),1.000 (+/- 0.000),0.710 (+/- 0.003),0.701 (+/- 0.005),0.999 (+/- 0.000),0.920 (+/- 0.008),0.791 (+/- 0.007),0.826 (+/- 0.004),0.234 (+/- 0.001)
