,Logistic Regression,Catboost,LGBM,Naive Bayes,stacking,voting
fit_time,2.360 (+/- 0.645),122.743 (+/- 56.892),1.629 (+/- 0.302),0.135 (+/- 0.034),709.076 (+/- 329.318),125.314 (+/- 58.323)
score_time,0.046 (+/- 0.015),0.462 (+/- 0.238),0.092 (+/- 0.025),0.057 (+/- 0.021),0.326 (+/- 0.104),0.325 (+/- 0.109)
test_roc_auc,0.736 (+/- 0.016),0.779 (+/- 0.012),0.780 (+/- 0.011),0.723 (+/- 0.014),0.782 (+/- 0.012),0.776 (+/- 0.015)
train_roc_auc,0.739 (+/- 0.002),0.918 (+/- 0.001),0.897 (+/- 0.001),0.725 (+/- 0.002),0.903 (+/- 0.001),0.875 (+/- 0.003)
test_f1,0.506 (+/- 0.019),0.539 (+/- 0.015),0.535 (+/- 0.018),0.377 (+/- 0.003),0.494 (+/- 0.016),0.470 (+/- 0.010)
train_f1,0.508 (+/- 0.002),0.705 (+/- 0.002),0.661 (+/- 0.003),0.377 (+/- 0.002),0.567 (+/- 0.004),0.542 (+/- 0.002)
test_recall,0.603 (+/- 0.022),0.602 (+/- 0.018),0.613 (+/- 0.021),0.964 (+/- 0.007),0.396 (+/- 0.016),0.821 (+/- 0.019)
train_recall,0.605 (+/- 0.003),0.815 (+/- 0.003),0.776 (+/- 0.004),0.964 (+/- 0.004),0.458 (+/- 0.006),0.941 (+/- 0.006)
test_precision,0.436 (+/- 0.019),0.488 (+/- 0.015),0.475 (+/- 0.018),0.234 (+/- 0.002),0.657 (+/- 0.028),0.329 (+/- 0.008)
train_precision,0.437 (+/- 0.003),0.620 (+/- 0.003),0.576 (+/- 0.004),0.234 (+/- 0.001),0.745 (+/- 0.003),0.381 (+/- 0.002)
